VDDH [V],L_n [um],gm_id_n [1/V],Wn [um],L_p [um],gm_id_p [1/V],Wp [um],A2 [V/V],Iq_total [A],Iq_scale,Power [mW],gm_n [S],gm_p [S],gm_total [S],rout [ohm],p2 [Hz],I_pk_available [A],Vout_CM [V],V_low_sat [V],V_high_sat [V],swing_actual [V],VGS_n [V],VGS_p [V],Vgate_n [V],Vgate_p [V],Vbias_pg_minus_ng [V],C_out_parasitic [pF]
1.55,0.15,14.636363636363637,38.97747393975303,0.15,13.636363636363637,26.660022488688668,33.09093711581934,0.000252,1.5,0.3906,0.0036883636363636363,0.0034363636363636363,0.007124727272727272,4644.519832006491,226968179.10143068,0.00252,0.775,0.06832298136645963,1.4766666666666668,1.4083436853002071,0.5722490093001235,0.5914572817329042,0.5722490093001235,0.9585427182670958,0.38629370896697235,0.03129754211402633
1.55,0.15,14.636363636363637,38.97747393975303,0.15,15.454545454545453,36.85010147845137,33.817526603121024,0.000252,1.5,0.3906,0.0036883636363636363,0.0038945454545454544,0.007582909090909091,4459.703551459397,228030880.26567295,0.00252,0.775,0.06832298136645963,1.4852941176470589,1.4169711362805992,0.5722490093001235,0.5691808620633072,0.5722490093001235,0.9808191379366928,0.4085701286365694,0.03701724607839584
1.55,0.15,14.636363636363637,38.97747393975303,0.15,17.272727272727273,52.063070974615194,34.3989519988328,0.000252,1.5,0.3906,0.0036883636363636363,0.004352727272727273,0.00804109090909091,4277.896169528793,224595275.72740453,0.00252,0.775,0.06832298136645963,1.4921052631578948,1.4237822817914352,0.5722490093001235,0.5480506354239059,0.5722490093001235,1.0019493645760942,0.4297003552759707,0.045541014624012055
1.55,0.15,14.636363636363637,38.97747393975303,0.15,19.09090909090909,76.18381540034532,34.84801553088156,0.000252,1.5,0.3906,0.0036883636363636363,0.0048109090909090905,0.008499272727272727,4100.11734522416,214346445.37537375,0.00252,0.775,0.06832298136645963,1.4976190476190476,1.429296066252588,0.5722490093001235,0.5271124569813079,0.5722490093001235,1.0228875430186921,0.45063853371856866,0.059030561319917865
1.55,0.15,14.636363636363637,38.97747393975303,0.15,20.909090909090907,117.2986871708625,35.20126339816729,0.000252,1.5,0.3906,0.0036883636363636363,0.005269090909090908,0.008957454545454544,3929.8288614850026,193812104.72529954,0.00252,0.775,0.06832298136645963,1.5021739130434784,1.4338509316770187,0.5722490093001235,0.505540207269683,0.5722490093001235,1.0444597927303172,0.47221078343019374,0.08197839676790447
1.55,0.15,14.636363636363637,38.97747393975303,0.15,22.727272727272727,193.29785086712698,35.537172198463246,0.000252,1.5,0.3906,0.0036883636363636363,0.005727272727272727,0.009415636363636362,3774.271947853626,159743260.16907164,0.00252,0.775,0.06832298136645963,1.506,1.4376770186335404,0.5722490093001235,0.4826515514294423,0.5722490093001235,1.0673484485705578,0.4950994392704343,0.12430561729459746
1.55,0.15,14.636363636363637,38.97747393975303,0.15,24.545454545454547,345.99870261912093,35.97549473836255,0.000252,1.5,0.3906,0.0036883636363636363,0.006185454545454546,0.009873818181818182,3643.52412368788,112038554.75998719,0.00252,0.775,0.06832298136645963,1.5092592592592593,1.4409362778927997,0.5722490093001235,0.45803057946200726,0.5722490093001235,1.0919694205379928,0.5197204112378694,0.20915529359724452
1.55,0.15,14.636363636363637,38.97747393975303,0.15,26.363636363636363,682.3825084152552,36.62520193912955,0.000252,1.5,0.3906,0.0036883636363636363,0.006643636363636364,0.010332000000000001,3544.8317788549703,48225983.24433597,0.00252,0.775,0.06832298136645963,1.5120689655172415,1.4437459841507818,0.5722490093001235,0.4313678371111183,0.5722490093001235,1.1186321628888818,0.5463831535887583,0.3956110519080865
1.55,0.15,16.363636363636363,67.91447355898114,0.15,13.636363636363637,26.660022488688668,33.238314101482075,0.000252,1.5,0.3906,0.004123636363636363,0.0034363636363636363,0.007559999999999999,4396.6023943759365,220700823.5017237,0.00252,0.775,0.06111111111111111,1.4766666666666668,1.4155555555555557,0.5364129034602922,0.5914572817329042,0.5364129034602922,0.9585427182670958,0.42212981480680356,0.043221371387854625
1.55,0.15,16.363636363636363,67.91447355898114,0.15,15.454545454545453,36.85010147845137,33.92202013339642,0.000252,1.5,0.3906,0.004123636363636363,0.0038945454545454544,0.008018181818181817,4230.6374316027295,221894390.45739648,0.00252,0.775,0.06111111111111111,1.4852941176470589,1.4241830065359478,0.5364129034602922,0.5691808620633072,0.5364129034602922,0.9808191379366928,0.4444062344764006,0.04894107535222413
1.55,0.15,16.363636363636363,67.91447355898114,0.15,17.272727272727273,52.063070974615194,34.47068928330871,0.000252,1.5,0.3906,0.004123636363636363,0.004352727272727273,0.008476363636363636,4066.68363488198,219172221.13507167,0.00252,0.775,0.06111111111111111,1.4921052631578948,1.4309941520467837,0.5364129034602922,0.5480506354239059,0.5364129034602922,1.0019493645760942,0.46553646111580194,0.05746484389784035
1.55,0.15,16.363636363636363,67.91447355898114,0.15,19.09090909090909,76.18381540034532,34.895619051606836,0.000252,1.5,0.3906,0.004123636363636363,0.0048109090909090905,0.008934545454545454,3905.6960680471634,210164062.71849823,0.00252,0.775,0.06111111111111111,1.4976190476190476,1.4365079365079365,0.5364129034602922,0.5271124569813079,0.5364129034602922,1.0228875430186921,0.48647463955839987,0.07095439059374617
1.55,0.15,16.363636363636363,67.91447355898114,0.15,20.909090909090907,117.2986871708625,35.23089339342321,0.000252,1.5,0.3906,0.004123636363636363,0.005269090909090908,0.009392727272727271,3750.8694089010387,191556023.9390299,0.00252,0.775,0.06111111111111111,1.5021739130434784,1.4410628019323672,0.5364129034602922,0.505540207269683,0.5364129034602922,1.0444597927303172,0.508046889270025,0.09390222604173278
1.55,0.15,16.363636363636363,67.91447355898114,0.15,22.727272727272727,193.29785086712698,35.550962831756436,0.000252,1.5,0.3906,0.004123636363636363,0.005727272727272727,0.00985090909090909,3608.9017271070584,159858928.760764,0.00252,0.775,0.06111111111111111,1.506,1.444888888888889,0.5364129034602922,0.4826515514294423,0.5364129034602922,1.0673484485705578,0.5309355451102655,0.13622944656842578
1.55,0.15,16.363636363636363,67.91447355898114,0.15,24.545454545454547,345.99870261912093,35.97025983560566,0.000252,1.5,0.3906,0.004123636363636363,0.006185454545454546,0.01030909090909091,3489.178643665452,114549984.84400013,0.00252,0.775,0.06111111111111111,1.5092592592592593,1.4481481481481482,0.5364129034602922,0.45803057946200726,0.5364129034602922,1.0919694205379928,0.5555565170777006,0.22107912287107281
1.55,0.15,16.363636363636363,67.91447355898114,0.15,26.363636363636363,682.3825084152552,36.59329509907812,0.000252,1.5,0.3906,0.004123636363636363,0.006643636363636364,0.010767272727272726,3398.566751856293,57013738.58606761,0.00252,0.775,0.06111111111111111,1.5120689655172415,1.4509578544061303,0.5364129034602922,0.4313678371111183,0.5364129034602922,1.1186321628888818,0.5822192594285895,0.4075348811819148
1.6,0.15,11.181818181818182,15.16868686020367,0.15,11.818181818181818,19.4283006854349,32.01206246839446,0.000252,1.5,0.40320000000000006,0.0028178181818181817,0.002978181818181818,0.005796,5523.130170530445,191004498.24196976,0.00252,0.8,0.08943089430894309,1.5153846153846156,1.4259537210756725,0.6446778972990911,0.6156594999126472,0.6446778972990911,0.9843405000873529,0.33966260278826177,0.017271136262309757
